"Strain","Stress_MPa","loading_type","temp","lot","specimen","filename"
0.000630868566176957,85.0848330585067,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000642246542002432,86.0498614732551,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000649620728322023,87.0150525781805,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000652383060280966,87.980188103767,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000661023716741387,88.9452688707239,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000664091009677664,89.9116277440617,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000671481052741145,90.8779403923817,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000685069584278497,91.8443162783395,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000692936474062308,92.8109645366476,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000712079753595479,93.7786408486393,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000727951762468753,94.7470760161457,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00074305276553406,95.7152643586369,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000768713329556913,96.6843134156032,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000797153050792104,97.6540543150733,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000817941223101387,98.6239029817283,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000847945900755775,99.5948433235848,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000866114086644023,100.565912056257,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000887445253842027,101.537724490554,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000899667038473375,102.509696278139,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000913329083271977,103.482483156372,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000925974507839257,104.454910519253,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000929320142180794,105.428842573228,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000940357573112665,106.403241362601,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000939542839438011,107.377796660908,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000945107982234254,108.352882205821,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000949848108877493,109.32760139724,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000961744992148782,110.302029070286,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000974304122903314,111.276332292252,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000989883972090427,112.25014678734,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00100906088304702,113.2234133117,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.0010284061852403,114.196439247443,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00105204990051832,115.168393365509,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00107212664697533,116.138545530246,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00109267990460912,117.108983852822,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00111383026407208,118.079686450415,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00113131190323514,119.049431781053,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00115794410330797,120.019363816441,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00117501857377997,120.987669225835,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00118890450658835,121.955641268402,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00120451922047096,122.923039793458,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00121441756120957,123.889658730161,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.0012267145401739,124.854869200075,"P",20,"F","1","P_020_F_1_017_198_18.csv"
